n	n_mismatch	other
906	5	other:gemma
611	1	other:nex
503	0	other:nex-agi
382	4	other:perplexity
336	0	other:perplexity ai
273	26	other:step
223	10	other:kat-coder
188	2	other:jamba
186	0	other:ai21
185	17	other:ibm
169	7	other:arcee ai
159	3	other:trinity-large
141	0	other:gemma 4
141	0	other:ling
114	13	other:phi
37	2	other:minimax
28	16	other:nemistral
25	0	other:gemma 팀
23	1	other:ibm (international business machines cor
19	0	other:커맨드
17	5	other:ася
15	0	other:alex
13	1	other:コマンド
11	10	other:hugging face
10	0	other:l'équipe gemma
10	0	other:grand modèle linguistique
9	4	other:雾栖科技
8	8	other:fpt smart cloud
8	0	other:lama
7	0	other:llamo
7	0	other:клаудия
7	0	other:astra
7	5	other:클로이
7	0	other:최신 버전 모델
7	0	other:тони
6	0	other:модель
6	6	other:nemistral ai
6	0	other:kat-coder pro-v2
6	0	other:minimax ai
6	0	other:квен
5	0	other:командой gemma
5	0	other:gemma 团队
5	0	other:un grand modèle linguistique
5	0	other:minimax-m2.2
5	5	other:jarvis
5	0	other:модель-трансформер
5	0	other:小初心
5	0	other:deep seek
5	0	other:ling（リンモデル）
5	0	other:thông thoại
5	1	other:アントグループ
5	5	other:neuro
5	5	other:카카오
4	0	other:aiさん
4	0	other:бот
4	2	other:nemo
4	0	other:миша
4	4	other:viettel ai
4	1	other:ling（リン）
4	2	other:assist
4	0	other:перплэксити
4	0	other:톰이 랩
4	4	other:りんな
4	4	other:transformer 模型
4	4	other:detrm 研究组
4	0	other:assis
4	1	other:assistent
4	4	other:vinbigdata
4	2	other:bert
4	0	other:minimax-m3
4	4	other:laion
4	4	other:마루(maru)
4	0	other:ネモトロン3ウルトラ
4	0	other:немotron 3 ультра
4	0	other:ling(링)
4	0	other:null
4	0	other:llamalama
4	2	other:dialogue
4	0	other:[이름]
4	0	other:family
4	0	other:ai hỗ trợ
4	4	other:lia
3	0	other:the gemma team
3	1	other:clara
3	1	other:코맨드
3	0	other:中国の会社
3	0	other:コヒーレンス
3	3	other:vietai và fpt smart cloud
3	0	other:công nghệ ai
3	3	other:cloudwalk
3	0	other:コマンド r+ 08-2024
3	0	other:미스트럴 ai
3	0	other:байда
3	0	other:перплити
3	0	other:ling（リンホ）
3	3	other:chatpdf
3	3	other:lavague
3	3	other:vicuna-13b-delta-v1.1
3	1	other:ibm（国际商业机器公司）
3	0	other:[your name]
3	2	other:开源社区
3	3	other:huawei
3	3	other:la comunidad
3	1	other:creado para ayudarte
3	0	other:desarrolladores
3	2	other:ларабот
3	3	other:lumina
3	3	other:palm 2
3	0	other:mini
3	0	other:mark zuckerberg
3	3	other:text-davinci-003
3	3	other:командой разработчиков
3	3	other:neurosteer
3	0	other:немотрион 3 ультра
3	0	other:젬마(gemma)
3	0	other:перплексити
3	0	other:오픈 소스
3	0	other:step(스텝)
3	1	other:алекс
3	3	other:t-astro
3	2	other:openstax
2	0	other:un modèle linguistique
2	0	other:grand modèle linguistique open-source
2	0	other:deep seek社
2	2	other:mibot
2	0	other:немоtron 3 ультра
2	0	other:ลามา
2	0	other:bonjour
2	0	other:groupe ant
2	0	other:creado para ayudarte con información
2	1	other:アレックス
2	0	other:джорой
2	1	other:ким
2	1	other:клауд
2	0	other:minimax-m2.1
2	0	other:perplexity（パープレキシティ）
2	1	other:클레어
2	0	other:kat-coder (pro-v2)
2	0	other:перплосити
2	2	other:langchain
2	2	other:distilbert
2	0	other:minimax-m3.1
2	2	other:aws
2	0	other:nemo llm team
2	0	other:minimax-m3.5
2	0	other:ai companion
2	0	other:iris
2	2	other:vicuna
2	0	other:minimax-m2
2	0	other:智能助理
2	2	other:metaphor
2	0	other:minimax technology
2	0	other:minimax-m4
2	2	other:amélie
2	0	other:中国的公司
2	1	other:luna
2	0	other:ani
2	0	other:コヒア
2	0	other:энвидиа
2	1	other:лан
2	1	other:アルバート
2	0	other:暁メイ
2	2	other:zalo ai
2	0	other:michelangelo
2	2	other:moondream 7b
2	2	other:yandexgpt
2	2	other:클로버
2	0	other:a.i
2	0	other:mes créateurs
2	0	other:デジタルマインド
2	2	other:マイクロソフト
2	2	other:тонги
2	0	other:一家科技公司
2	0	other:[nom de l'ia]
2	0	other:명령 r+ 08-2024
2	1	other:타이탄
2	0	other:nexagile
2	1	other:퍼플렉시티
2	2	other:midjourney llc
2	0	other:小爱同学
2	0	other:thâm độ cầu sách
2	0	other:aide
2	0	other:コマンドr 08-2024
2	1	other:создатели
2	1	other:công ty thâm độ cầu sách
2	0	other:一家技术公司
2	1	other:ava
2	2	other:aya
2	0	other:l'entreprise
2	0	other:тоньи
2	2	other:フレッド
2	2	other:オープンソース
2	0	other:mistralai
2	0	other:コマンド r 08-2024
2	0	other:コヒア社
2	0	other:deepseak
2	2	other:아리바이
2	2	other:chattyai
2	2	other:大理石
2	0	other:ai 또는 도우미
2	2	other:クロエ
2	0	other:ami
2	0	other:l'ia
2	0	other:виртуальная помощница
2	0	other:北京达佳互联信息技术有限公司
2	2	other:ia de respuesta
2	2	other:fpt ai conversation
2	0	other:el equipo de gemma
2	0	other:modèle linguistique
2	0	other:ling（百霊）
2	2	other:just ai
2	2	other:オープンソースのコミュニティ
2	0	other:ai 팀
2	0	other:[votre nom]
2	0	other:mô hình ai
2	1	other:アルイバグループ
2	2	other:셀레나
2	2	other:aiden
2	1	other:công ty chúng tôi
2	0	other:ai 모델
2	1	other:искусственным интеллектом
2	2	other:alphago
2	1	other:илон маск
1	0	other:gemma团队
1	0	other:джин
1	0	other:ジェネレーティブ・プリトレインド・トランスフォーマー
1	1	other:институт развития языковых моделей «диал
1	1	other:yuanbao
1	0	other:ling（リンハイ）
1	0	other:công ty 01.ai
1	0	other:une équipe d'ingénieurs et de développeu
1	1	other:사만다
1	1	other:llマークii
1	0	other:하나(하나) 모델
1	0	other:지금 이 대화를 해주신 ai
1	0	other:李小明
1	1	other:xgboost
1	1	other:hangzhou deep intelligence technology co
1	1	other:ламда
1	0	other:асистент
1	1	other:グレート・ウェルカム・モデル
1	0	other:сяо вэнь
1	1	other:アシュター
1	1	other:クラウドエイアイ株式会社
1	0	other:오늘의 일기
1	0	other:캐치미 일기
1	0	other:clo ai
1	0	other:そもにわたみ
1	1	other:김민재
1	1	other:together
1	0	other:перплекси
1	0	other:thầy john swenson
1	1	other:аня
1	0	other:人工智慧モデル
1	1	other:cognitive computation group
1	0	other:naamen
1	0	other:инопланетянин
1	0	other:ling（リンホア）
1	0	other:công nghệ
1	1	other:hikari
1	1	other:b gardener
1	0	other:myself
1	1	other:сбалансированный диалог (сбд)
1	1	other:ай-эм-ти концепт
1	1	other:lara
1	1	other:multilingual_languages
1	0	other:тёмный друг
1	1	other:элла
1	1	other:large
1	1	other:модель k
1	1	other:ростелеком
1	1	other:neural machine translation
1	0	other:ia de asistencia
1	1	other:apple inc.
1	1	other:сири
1	0	other:công ty công nghệ
1	0	other:grand modèle linguistique open-weights
1	0	other:deep learning (api)
1	0	other:beijing rongshu technology co., ltd.
1	1	other:mystic
1	1	other:kim
1	0	other:лара
1	0	other:esuntech
1	1	other:ai 애리아
1	0	other:ai 전문가
1	1	other:mahakama lifelong ai
1	1	other:chatrtx
1	0	other:jamba-70b
1	1	other:米高（meg）ai
1	1	other:米高（meg）ai实验室
1	0	other:トラブルです。
1	0	other:анастасия
1	0	other:라이언
1	0	other:nemo llm
1	1	other:카카오엔터프라이즈
1	1	other:text generation model
1	0	other:купил
1	0	other:ai chat
1	1	other:nemebot
1	0	other:李飞玛
1	0	other:莎朗·阿迪尔（sharon adair）
1	1	other:bảo ngọc
1	1	other:wenxun technology
1	1	other:ラプターシュ
1	0	other:математика
1	0	other:большой языковой модель
1	0	other:лаиа
1	0	other:một tên máy móc
1	1	other:meg-7b
1	1	other:米高（meg） ai 实验室
1	1	other:metaphysic
1	0	other:người đồng hành số
1	0	other:катя
1	0	other:ant financial
1	0	other:китайская компания
1	1	other:ミタ・ハマモト氏
1	1	other:học viện nghiên cứu sâu
1	0	other:안드레이
1	0	other:алисой
1	0	other:딥씨(deep c)
1	1	other:ia de respuestas
1	1	other:stware（エステウォーク）
1	1	other:コミュニティ
1	0	other:ai（一般的な自然言语処理モデル）
1	1	other:cz（ちづみ）
