# distinct other:* canon values over the 60,770-record identity/creator battery
# columns: total_occurrences | foreign_occurrences(main fields, is_self=False) | n_models | top_langs | value
  906 |     5 |   2 | ja:4,fr:1            | other:gemma
  611 |     0 |   0 |                      | other:nex
  503 |     0 |   0 |                      | other:nex-agi
  382 |     0 |   0 |                      | other:perplexity
  336 |     0 |   0 |                      | other:perplexity ai
  273 |    26 |   1 | ja:22,vi:3,en:1      | other:step
  223 |     0 |   0 |                      | other:kat-coder
  188 |     0 |   0 |                      | other:jamba
  186 |     0 |   0 |                      | other:ai21
  185 |     5 |   2 | en:2,ru:1,vi:1       | other:ibm
  169 |     0 |   0 |                      | other:arcee ai
  159 |     0 |   0 |                      | other:trinity-large
  141 |     0 |   0 |                      | other:gemma 4
  141 |     0 |   0 |                      | other:ling
  114 |     3 |   1 | vi:3                 | other:phi
   37 |     2 |   2 | zh:1,vi:1            | other:minimax
   28 |    28 |   1 | ko:12,es:10,en:4     | other:nemistral
   25 |     0 |   0 |                      | other:gemma 팀
   23 |     0 |   0 |                      | other:ibm (international business machines cor
   19 |    19 |   1 | ko:19                | other:커맨드
   17 |    17 |   5 | ru:17                | other:ася
   15 |    14 |   6 | es:7,en:5,vi:1       | other:alex
   13 |    13 |   4 | ja:13                | other:コマンド
   11 |    11 |   5 | fr:5,vi:2,es:1       | other:hugging face
   10 |     0 |   0 |                      | other:l'équipe gemma
   10 |    10 |   6 | fr:10                | other:grand modèle linguistique
    9 |     9 |   1 | zh:9                 | other:雾栖科技
    8 |     8 |   1 | vi:8                 | other:fpt smart cloud
    8 |     0 |   0 |                      | other:lama
    7 |     7 |   1 | es:7                 | other:llamo
    7 |     7 |   1 | ru:7                 | other:клаудия
    7 |     7 |   2 | en:4,fr:3            | other:astra
    7 |     7 |   3 | ko:7                 | other:클로이
    7 |     0 |   0 |                      | other:최신 버전 모델
    7 |     7 |   1 | ru:7                 | other:тони
    6 |     6 |   4 | ru:6                 | other:модель
    6 |     6 |   1 | ko:6                 | other:nemistral ai
    6 |     0 |   0 |                      | other:kat-coder pro-v2
    6 |     0 |   0 |                      | other:minimax ai
    6 |     6 |   3 | ru:6                 | other:квен
    5 |     0 |   0 |                      | other:командой gemma
    5 |     0 |   0 |                      | other:gemma 团队
    5 |     5 |   3 | fr:5                 | other:un grand modèle linguistique
    5 |     0 |   0 |                      | other:minimax-m2.2
    5 |     5 |   1 | fr:5                 | other:jarvis
    5 |     5 |   1 | ru:5                 | other:модель-трансформер
    5 |     5 |   1 | zh:5                 | other:小初心
    5 |     0 |   0 |                      | other:deep seek
    5 |     0 |   0 |                      | other:ling（リンモデル）
    5 |     5 |   1 | vi:5                 | other:thông thoại
    5 |     5 |   1 | ja:5                 | other:アントグループ
    5 |     5 |   3 | ru:5                 | other:neuro
    5 |     5 |   2 | ko:5                 | other:카카오
    4 |     4 |   2 | ja:4                 | other:aiさん
    4 |     4 |   4 | ru:4                 | other:бот
    4 |     2 |   1 | fr:1,en:1            | other:nemo
    4 |     4 |   2 | ru:4                 | other:миша
    4 |     4 |   2 | vi:4                 | other:viettel ai
    4 |     0 |   0 |                      | other:ling（リン）
    4 |     4 |   4 | ru:3,fr:1            | other:assist
    4 |     4 |   1 | ru:4                 | other:перплэксити
    4 |     0 |   0 |                      | other:톰이 랩
    4 |     4 |   2 | ja:4                 | other:りんな
    4 |     4 |   1 | zh:4                 | other:transformer 模型
    4 |     4 |   1 | zh:4                 | other:detrm 研究组
    4 |     4 |   1 | vi:4                 | other:assis
    4 |     4 |   3 | vi:3,fr:1            | other:assistent
    4 |     4 |   1 | vi:4                 | other:vinbigdata
    4 |     4 |   4 | en:3,ja:1            | other:bert
    4 |     0 |   0 |                      | other:minimax-m3
    4 |     4 |   2 | en:2,ko:1,fr:1       | other:laion
    4 |     4 |   3 | ko:4                 | other:마루(maru)
    4 |     4 |   1 | ja:4                 | other:ネモトロン3ウルトラ
    4 |     4 |   1 | ru:4                 | other:немotron 3 ультра
    4 |     0 |   0 |                      | other:ling(링)
    4 |     4 |   3 | ru:2,ja:1,vi:1       | other:null
    4 |     4 |   1 | ru:2,vi:1,fr:1       | other:llamalama
    4 |     4 |   1 | ja:4                 | other:dialogue
    4 |     0 |   0 |                      | other:[이름]
    4 |     4 |   1 | ja:4                 | other:family
    4 |     4 |   2 | vi:4                 | other:ai hỗ trợ
    4 |     4 |   2 | fr:4                 | other:lia
    3 |     0 |   0 |                      | other:the gemma team
    3 |     3 |   2 | es:2,en:1            | other:clara
    3 |     3 |   2 | ko:3                 | other:코맨드
    3 |     3 |   2 | ja:3                 | other:中国の会社
